trend,date,seasonal,observed
101444.24297831047,2016-09-15,3.078392709137653,101251.56666666667
101450.44393835614,2016-09-16,348.3114779104712,101782.97541666667
101454.27789497719,2016-09-17,115.35473309934926,101317.38375
101453.41052853882,2016-09-18,167.28822469336055,101157.32666666666
101451.71240296806,2016-09-19,279.7318938506881,101330.97166666666
101449.53414383558,2016-09-20,151.58139810557878,101239.84916666667
101450.09852054794,2016-09-21,45.49532110266581,101219.02958333334
101450.49112328765,2016-09-22,-485.2827650326542,101753.36833333333
101449.19376027398,2016-09-23,-414.0796485943106,101168.98166666667
101447.3230787671,2016-09-24,2.6901083587878203,100739.79791666666
101444.504946347,2016-09-25,19.33914416202861,101287.14333333333
101441.9403413242,2016-09-26,-431.3542216536663,101019.81583333334
101439.58228652965,2016-09-27,-435.8527886939272,101245.97249999999
101436.99759817349,2016-09-28,-117.72989153742485,99816.37375000001
101437.00875456621,2016-09-29,119.19587101964785,98964.87375000001
101437.81102853882,2016-09-30,347.8969438714404,99650.96458333333
101441.41310616439,2016-10-01,413.43982981997516,100530.69583333335
101443.46478196344,2016-10-02,140.75278623343573,99602.15375
101444.71120662101,2016-10-03,-30.27637015926775,99819.36583333333
101447.65644178081,2016-10-04,-55.66393813352965,100721.85833333334
101450.60137328765,2016-10-05,-107.73077385375268,101504.33833333333
101451.24961301367,2016-10-06,-231.64391208537901,101293.685
101450.40027739725,2016-10-07,216.8422402599991,101705.43541666667
101447.2351392694,2016-10-08,-31.77264236765381,101736.14541666668
101443.85497488583,2016-10-09,-89.25453890148569,100473.84291666666
101444.16729908672,2016-10-10,122.77093972035459,101190.38708333333
101444.7170502283,2016-10-11,-17.73226482510399,101710.72666666667
101444.31763698629,2016-10-12,104.64050333596431,102140.03791666667
101443.32861073058,2016-10-13,178.982477910468,102559.78833333333
101443.20624885842,2016-10-14,169.35094999432732,101934.86333333333
101443.1510365297,2016-10-15,-17.72131785540785,100666.74666666666
101442.52925114155,2016-10-16,284.73057338577456,100333.23375
101443.16774086758,2016-10-17,260.5881740499547,100820.55666666666
101445.64888470319,2016-10-18,127.10815837953841,101431.96041666665
101447.18329794522,2016-10-19,199.96563222761117,102003.05541666667
101448.19766894975,2016-10-20,335.14988502960796,101205.62
101447.99147488583,2016-10-21,194.2864615136263,101511.47249999999
101446.62092123287,2016-10-22,191.46064416201847,102240.10166666667
101444.47676826481,2016-10-23,154.79811583078174,102416.18166666666
101439.69718835616,2016-10-24,-104.93773493719024,101685.22125
101433.93402283105,2016-10-25,-108.40278817503922,100981.05958333334
101432.63525456618,2016-10-26,19.959972825374184,101589.23291666666
101434.36199315067,2016-10-27,63.58271576849726,102027.40375
101436.02934018262,2016-10-28,87.50344117323988,101886.51791666668
101438.46552853879,2016-10-29,-142.8221290841341,100708.13333333335
101441.30500913241,2016-10-30,-332.1414071040577,100590.63625
101442.15889041094,2016-10-31,-122.46746272879824,101232.00708333333
101447.02530936072,2016-11-01,50.770571414002156,101261.77041666668
101453.52728767123,2016-11-02,155.45332774443116,101753.65208333333
101457.24336073057,2016-11-03,55.57352751612174,101543.585
101459.56338242006,2016-11-04,-221.83292692555162,100623.41875
101461.49981506848,2016-11-05,-381.6263002132203,101108.20333333332
101465.73093150684,2016-11-06,-309.4747692875371,100719.02500000001
101473.08911415521,2016-11-07,-186.71825268313586,100644.42541666667
101481.84331963469,2016-11-08,347.5453229706597,101284.93874999999
101485.75797374429,2016-11-09,346.749902568012,101190.69750000001
101489.82766552515,2016-11-10,142.3847932902869,101234.02416666667
